Operação;Data;Hora;Moeda;Quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte
Venda para Fiat (Tributável);2021-04-02;17:57:12;BTC;0,008432;0,0;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:14;BTC;0,008432;0,0;EUR;424,3522048
Venda para Fiat (Tributável);2021-04-02;17:57:15;BTC;0,008432;0,0;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BTC;0,000992;0,0;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BTC;0,006486;0,0;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:16;BTC;0,006486;0,0;EUR;326,4170304
Venda para Fiat (Tributável);2021-04-02;17:57:17;BTC;0,050246;0,0;EUR;2528,7002944
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;0,49378;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;0,28836;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;0,35893;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;0,35893;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;0,5;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;732,3;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;409,7;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;558,1;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;315,1;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;611,2;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;373,6;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;1043,2;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;94,9;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;300,0;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;1228,1;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;1693,7;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;10055,9;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;94,9;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-19;17:30:01;VET;50752,4;0,0;EUR;10145,40476
Venda para Fiat (Tributável);2021-04-19;22:55:14;ADA;19,3;0,0;EUR;19,674034
Venda para Fiat (Tributável);2021-04-19;22:55:16;ADA;19,1;0,0;EUR;19,470158
Venda para Fiat (Tributável);2021-04-19;22:55:17;ADA;19,1;0,0;EUR;19,470158
Venda para Fiat (Tributável);2021-04-19;22:55:19;ADA;2673,2;0,0;EUR;2744,6806500000002
Venda para Fiat (Tributável);2021-04-19;22:55:19;ADA;19,3;0,0;EUR;2744,6806500000002
Venda para Fiat (Tributável);2021-05-06;11:59:17;ADA;1566,0;0,0;EUR;2165,3082
Venda para Fiat (Tributável);2021-05-07;12:16:21;AVAX;47,074;1057,24;EUR;1659,12313
Venda para Fiat (Tributável);2021-05-09;07:36:06;ADA;1058,36;0,0;EUR;11284,464316000001
Venda para Fiat (Tributável);2021-05-09;07:36:06;ADA;5671,0;0,0;EUR;11284,464316000001
Venda para Fiat (Tributável);2021-05-09;07:36:06;ADA;1270,0;0,0;EUR;11284,464316000001
Venda para Fiat (Tributável);2021-05-09;07:36:10;ADA;0,64;0,0;EUR;0,902784
Venda para Fiat (Tributável);2021-05-15;01:54:45;ADA;998,93;0,0;EUR;2017,8113
Venda para Fiat (Tributável);2021-05-15;01:54:45;ADA;6,01;0,0;EUR;2017,8113
Venda para Fiat (Tributável);2021-05-15;01:54:45;ADA;131,0;0,0;EUR;2017,8113
Venda para Fiat (Tributável);2021-05-15;01:54:45;ADA;63,71;0,0;EUR;2017,8113
Venda para Fiat (Tributável);2021-05-15;01:54:47;ADA;0,35;0,0;EUR;0,5887
Venda para Fiat (Tributável);2021-05-20;14:26:29;VET;4875,26;0,0;EUR;3253,323773
Venda para Fiat (Tributável);2021-05-20;14:26:29;VET;5640,29;0,0;EUR;3253,323773
Venda para Fiat (Tributável);2021-05-20;14:26:29;VET;4000,0;0,0;EUR;3253,323773
Venda para Fiat (Tributável);2021-05-20;14:26:29;VET;849,44;0,0;EUR;3253,323773
Venda para Fiat (Tributável);2021-05-20;14:26:29;VET;13239,01;0,0;EUR;3253,323773
Venda para Fiat (Tributável);2021-05-20;14:27:24;AVAX;214,958;814,56;EUR;5401,403777
Venda para Fiat (Tributável);2021-05-20;14:27:24;AVAX;22,895;222,6;EUR;5401,403777
Venda para Fiat (Tributável);2021-05-20;14:33:05;XRP;1499,28;0,0;EUR;1840,7468099999999
Venda para Fiat (Tributável);2021-05-20;14:33:05;XRP;295,87;0,0;EUR;1840,7468099999999
Venda para Fiat (Tributável);2021-05-21;08:47:39;THETA;564,178;0,0;EUR;4985,2638
Venda para Fiat (Tributável);2021-05-21;08:47:39;THETA;316,922;0,0;EUR;4985,2638
Venda para Fiat (Tributável);2021-05-23;10:37:32;LINK;50,0;0,0;EUR;839,25
Venda para Fiat (Tributável);2021-05-23;10:37:56;LINK;50,0;0,0;EUR;841,05
Venda para Fiat (Tributável);2021-05-23;10:41:39;LINK;50,0;0,0;EUR;833,8
Venda para Fiat (Tributável);2021-05-23;10:41:44;LINK;50,0;0,0;EUR;837,25
Venda para Fiat (Tributável);2021-05-23;10:43:59;LINK;50,0;0,0;EUR;837,8
Venda para Fiat (Tributável);2021-05-23;10:50:01;ETH;2,5;0,0;EUR;4431,8
Venda para Fiat (Tributável);2021-05-23;10:51:01;ETH;2,5;0,0;EUR;4442,05
Venda para Fiat (Tributável);2021-05-23;20:53:19;ADA;27,21;0,0;EUR;53,827242
Venda para Fiat (Tributável);2021-05-23;20:53:19;ADA;23,58;0,0;EUR;53,827242
Venda para Fiat (Tributável);2021-05-23;21:04:57;ADA;2788,43;0,0;EUR;15973,528158000001
Venda para Fiat (Tributável);2021-05-23;21:04:57;ADA;9083,78;0,0;EUR;15973,528158000001
Venda para Fiat (Tributável);2021-05-23;21:04:57;ADA;100,0;0,0;EUR;15973,528158000001
Venda para Fiat (Tributável);2021-05-23;21:04:57;ADA;3100,0;0,0;EUR;15973,528158000001
Venda para Fiat (Tributável);2021-05-24;15:26:06;ADA;242,71;0,0;EUR;299,98956
Venda para Fiat (Tributável);2021-05-24;15:26:09;ADA;134,13;0,0;EUR;165,78468
Venda para Fiat (Tributável);2021-05-24;15:26:11;ADA;80,38;0,0;EUR;99,34968
Venda para Fiat (Tributável);2021-05-24;15:26:48;ADA;80,99;0,0;EUR;12347,0
Venda para Fiat (Tributável);2021-05-24;15:26:48;ADA;9919,01;0,0;EUR;12347,0
Venda para Fiat (Tributável);2021-05-24;15:27:00;ADA;10000,0;0,0;EUR;12344,0
Venda para Fiat (Tributável);2021-05-24;15:27:04;ADA;79,65;0,0;EUR;98,4474
Venda para Fiat (Tributável);2021-05-24;15:27:05;ADA;176,05;0,0;EUR;11696,42868
Venda para Fiat (Tributável);2021-05-24;15:27:05;ADA;4947,73;0,0;EUR;11696,42868
Venda para Fiat (Tributável);2021-05-24;15:27:05;ADA;4339,0;0,0;EUR;11696,42868
Venda para Fiat (Tributável);2021-05-24;15:27:05;ADA;0,35;0,0;EUR;11696,42868
Venda para Fiat (Tributável);2021-05-24;15:30:57;ADA;49,0;0,0;EUR;12784,3164
Venda para Fiat (Tributável);2021-05-24;15:30:57;ADA;1500,0;0,0;EUR;12784,3164
Venda para Fiat (Tributável);2021-05-24;15:30:57;ADA;8752,5;0,0;EUR;12784,3164
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;20,166;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;225,3;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;20,069;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;30,254;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;235,944;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;62,507;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:45;THETA;20,161;0,0;EUR;3563,5258000000003
Venda para Fiat (Tributável);2021-05-26;14:02:46;THETA;181,0;0,0;EUR;1436,0857999999998
Venda para Fiat (Tributável);2021-05-26;14:02:46;THETA;66,601;0,0;EUR;1436,0857999999998
Venda para Fiat (Tributável);2021-05-26;14:02:50;THETA;24,953;0,0;EUR;316,6104
Venda para Fiat (Tributável);2021-05-26;14:02:50;THETA;29,635;0,0;EUR;316,6104
