Operação;Data;Hora;Moeda;Quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte
Venda para Fiat (Tributável);2021-01-20;19:29:24;ADA;-200,0;0,0;EUR;59,564
Venda para Fiat (Tributável);2021-01-20;19:29:24;BNB;-0,00127664;0,0;EUR;59,564
Venda para Fiat (Tributável);2021-02-14;09:54:38;ADA;-23,7;0,0;EUR;35,282978
Venda para Fiat (Tributável);2021-02-14;09:54:38;ADA;-25,0;0,0;EUR;35,282978
Venda para Fiat (Tributável);2021-02-14;09:54:38;BNB;-0,00011829;0,0;EUR;35,282978
Venda para Fiat (Tributável);2021-02-14;09:54:38;BNB;-0,0001248;0,0;EUR;35,282978
Venda para Fiat (Tributável);2021-02-20;10:23:18;ADA;-261,0;0,0;EUR;228,01482
Venda para Fiat (Tributável);2021-02-20;10:23:20;ADA;-260,8;0,0;EUR;227,840096
Venda para Fiat (Tributável);2021-02-20;10:23:21;ADA;-16,7;0,0;EUR;14,589454
Venda para Fiat (Tributável);2021-02-20;10:23:24;ADA;-27,7;0,0;EUR;24,199274
Venda para Fiat (Tributável);2021-02-20;10:23:25;ADA;-73,0;0,0;EUR;63,77426
Venda para Fiat (Tributável);2021-02-20;10:23:26;ADA;-27,7;0,0;EUR;24,199274
Venda para Fiat (Tributável);2021-02-20;10:26:54;ADA;-76,7;0,0;EUR;67,006654
Venda para Fiat (Tributável);2021-02-20;10:26:55;ADA;-114,2;0,0;EUR;99,767404
Venda para Fiat (Tributável);2021-02-20;10:26:58;ADA;-16,8;0,0;EUR;214,648434
Venda para Fiat (Tributável);2021-02-20;10:26:58;ADA;-228,9;0,0;EUR;214,648434
Venda para Fiat (Tributável);2021-02-20;10:27:00;ADA;-747,7;0,0;EUR;2730,411948
Venda para Fiat (Tributável);2021-02-20;10:27:00;ADA;-2377,7;0,0;EUR;2730,411948
Venda para Fiat (Tributável);2021-02-20;10:27:07;ADA;-38,1;0,0;EUR;33,284922
Venda para Fiat (Tributável);2021-02-20;10:27:08;ADA;-33,7;0,0;EUR;29,440994
Venda para Fiat (Tributável);2021-02-20;10:27:09;ADA;-38,1;0,0;EUR;33,284922
Venda para Fiat (Tributável);2021-02-20;10:27:10;ADA;-33,6;0,0;EUR;62,638554
Venda para Fiat (Tributável);2021-02-20;10:27:10;ADA;-38,1;0,0;EUR;62,638554
Venda para Fiat (Tributável);2021-02-20;10:27:11;ADA;-60,5;0,0;EUR;106,49427800000001
Venda para Fiat (Tributável);2021-02-20;10:27:11;ADA;-33,6;0,0;EUR;106,49427800000001
Venda para Fiat (Tributável);2021-02-20;10:27:11;ADA;-27,8;0,0;EUR;106,49427800000001
Venda para Fiat (Tributável);2021-02-20;10:27:14;ADA;-27,8;0,0;EUR;24,286636
Venda para Fiat (Tributável);2021-02-20;10:27:15;ADA;-8397,0;0,0;EUR;7402,968518000001
Venda para Fiat (Tributável);2021-02-20;10:27:15;ADA;-76,9;0,0;EUR;7402,968518000001
Venda para Fiat (Tributável);2021-02-20;10:27:16;ADA;-4948,1;0,0;EUR;4322,759122
Venda para Fiat (Tributável);2021-02-20;10:27:17;ADA;-27,8;0,0;EUR;24,286636
Venda para Fiat (Tributável);2021-03-31;08:15:41;BNB;-30,129;2754,57;EUR;11105,5252
Venda para Fiat (Tributável);2021-03-31;08:15:41;BNB;-13,871;0,0;EUR;11105,5252
Venda para Fiat (Tributável);2021-04-02;17:57:08;BTC;-0,000371;143,41;EUR;18,6710944
Venda para Fiat (Tributável);2021-04-02;17:57:08;BNB;-4,886e-05;0,0;EUR;18,6710944
Venda para Fiat (Tributável);2021-04-02;17:57:09;BTC;-0,000649;236,82;EUR;32,6618336
Venda para Fiat (Tributável);2021-04-02;17:57:09;BNB;-8,547e-05;0,0;EUR;32,6618336
Venda para Fiat (Tributável);2021-04-02;17:57:11;BTC;-0,000648;47,45;EUR;32,6115072
Venda para Fiat (Tributável);2021-04-02;17:57:11;BNB;-8,535e-05;0,0;EUR;32,6115072
Venda para Fiat (Tributável);2021-04-02;17:57:12;BTC;-0,000648;47,45;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:12;BNB;-0,00107716;0,0;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:12;BTC;-0,008178;1111,57;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:12;BTC;-0,008432;58,08;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:12;BNB;-8,535e-05;0,0;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:12;BNB;-0,00111061;0,0;EUR;868,5330111999999
Venda para Fiat (Tributável);2021-04-02;17:57:14;BNB;-0,00111061;0,0;EUR;424,3522048
Venda para Fiat (Tributável);2021-04-02;17:57:14;BTC;-0,008432;500,15;EUR;424,3522048
Venda para Fiat (Tributável);2021-04-02;17:57:15;BTC;-0,008432;1148,48;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BNB;-0,0008543;0,0;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BTC;-0,000992;117,01;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BNB;-0,00111061;0,0;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BNB;-0,00013065;0,0;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:15;BTC;-0,006486;765,02;EUR;800,6930239999999
Venda para Fiat (Tributável);2021-04-02;17:57:16;BTC;-0,006486;746,16;EUR;326,4170304
Venda para Fiat (Tributável);2021-04-02;17:57:16;BNB;-0,0008543;0,0;EUR;326,4170304
Venda para Fiat (Tributável);2021-04-02;17:57:17;BTC;-0,050246;0,0;EUR;2528,7002944
Venda para Fiat (Tributável);2021-04-02;17:57:17;BNB;-0,00661815;0,0;EUR;2528,7002944
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;-0,49378;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;-0,28836;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;-0,35893;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;-0,35893;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;ETH;-0,5;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;BNB;-0,0016365;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;BNB;-0,00131475;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;BNB;-0,00163649;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;BNB;-0,00227964;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;17:59:20;BNB;-0,00225127;0,0;EUR;3495,4810782000004
Venda para Fiat (Tributável);2021-04-02;18:02:33;BNB;-0,00149329;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;BNB;-0,0008431;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;-732,3;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;-409,7;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;BNB;-0,0019594;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;BNB;-0,00109622;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;-558,1;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;-315,1;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;BNB;-0,00163537;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;-611,2;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;ADA;-373,6;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-02;18:02:33;BNB;-0,00099963;0,0;EUR;3077,67
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-1043,2;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,00244363;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,00018891;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,00337084;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,00207632;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-94,9;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-300,0;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,0200223;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,00059732;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;BNB;-0,00018891;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-1228,1;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-1693,7;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-10055,9;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-18;19:22:18;ADA;-94,9;0,0;EUR;15229,931782999998
Venda para Fiat (Tributável);2021-04-19;17:30:01;VET;-50752,4;6421,27;EUR;10145,40476
Venda para Fiat (Tributável);2021-04-19;17:30:01;BNB;-0,01834344;0,0;EUR;10145,40476
Venda para Fiat (Tributável);2021-04-19;22:55:14;BNB;-3,441e-05;0,0;EUR;19,674034
Venda para Fiat (Tributável);2021-04-19;22:55:14;ADA;-19,3;0,0;EUR;19,674034
Venda para Fiat (Tributável);2021-04-19;22:55:16;ADA;-19,1;0,0;EUR;19,470158
Venda para Fiat (Tributável);2021-04-19;22:55:16;BNB;-3,405e-05;0,0;EUR;19,470158
Venda para Fiat (Tributável);2021-04-19;22:55:17;BNB;-3,405e-05;0,0;EUR;19,470158
Venda para Fiat (Tributável);2021-04-19;22:55:17;ADA;-19,1;0,0;EUR;19,470158
Venda para Fiat (Tributável);2021-04-19;22:55:19;BNB;-3,441e-05;0,0;EUR;2744,6806500000002
Venda para Fiat (Tributável);2021-04-19;22:55:19;BNB;-0,00476681;0,0;EUR;2744,6806500000002
Venda para Fiat (Tributável);2021-04-19;22:55:19;ADA;-2673,2;0,0;EUR;2744,6806500000002
