Data;Moeda;Qtd;Tipo;Status
2019-05-06;EOS;151,3624;ENTRADA;Entrada Direta/Rendimento
2019-05-15;BTC;0,17130544;ENTRADA;Entrada Direta/Rendimento
2019-05-15;XRP;3488,4;SAÍDA;Levantamento Externo
2019-05-15;ADA;18000,0;ENTRADA;Entrada Direta/Rendimento
2019-05-15;XRP;1217,2;SAÍDA;Levantamento Externo
2019-05-16;ETH;3,0;SAÍDA;Levantamento Externo
2019-05-16;EOS;244,7988;SAÍDA;Levantamento Externo
2019-05-16;ADA;7000,0;ENTRADA;Entrada Direta/Rendimento
2019-05-16;EOS;97,4447;SAÍDA;Levantamento Externo
2019-05-21;ETH;5,0;ENTRADA;Entrada Direta/Rendimento
2019-05-22;XRP;3224,0;SAÍDA;Levantamento Externo
2019-05-24;BTC;0,15288026;ENTRADA;Entrada Direta/Rendimento
2019-05-25;ADA;25000,0;ENTRADA;Entrada Direta/Rendimento
2019-05-25;BNB;100,505;SAÍDA;Levantamento Externo
2019-05-27;XLM;10574,89048;ENTRADA;Entrada Direta/Rendimento
2019-05-28;IOTA;2500,0;SAÍDA;Levantamento Externo
2019-05-29;XRP;999,27778;ENTRADA;Entrada Direta/Rendimento
2019-05-29;XRP;1838,07778;SAÍDA;Levantamento Externo
2019-05-31;ETH;5,0;ENTRADA;Entrada Direta/Rendimento
2019-06-01;EOS;342,0436;ENTRADA;Entrada Direta/Rendimento
2019-06-02;EOS;30,1;SAÍDA;Levantamento Externo
2019-06-03;XRP;2271,0;SAÍDA;Levantamento Externo
2019-06-05;ETH;1,70910756;ENTRADA;Entrada Direta/Rendimento
2019-06-05;ADA;12462,7868;SAÍDA;Levantamento Externo
2019-06-05;ETH;10,83071665;SAÍDA;Levantamento Externo
2019-06-21;ETH;2,24408264;ENTRADA;Entrada Direta/Rendimento
2019-06-27;BTC;0,02132719;ENTRADA;Entrada Direta/Rendimento
2019-06-27;LINK;108,0;SAÍDA;Levantamento Externo
2019-06-28;BTC;0,04317662;ENTRADA;Entrada Direta/Rendimento
2019-06-28;XRP;1000,0;ENTRADA;Entrada Direta/Rendimento
2019-06-28;LINK;98,0;SAÍDA;Levantamento Externo
2019-06-28;ADA;12461,3987;ENTRADA;Entrada Direta/Rendimento
2019-06-28;VET;35110,0;SAÍDA;Levantamento Externo
2019-06-28;ETH;7,09923634;SAÍDA;Levantamento Externo
2019-07-02;XRP;3100,0;ENTRADA;Entrada Direta/Rendimento
2019-07-03;BTC;0,06711642;ENTRADA;Entrada Direta/Rendimento
2019-07-09;XRP;2000,0;ENTRADA;Entrada Direta/Rendimento
2019-07-09;LINK;402,173701;ENTRADA;Entrada Direta/Rendimento
2019-07-09;BTC;0,04208573;ENTRADA;Entrada Direta/Rendimento
2019-07-10;BTC;0,02987306;ENTRADA;Entrada Direta/Rendimento
2019-07-10;IOTA;3750,0;ENTRADA;Entrada Direta/Rendimento
2019-07-10;XRP;2500,0;ENTRADA;Entrada Direta/Rendimento
2019-07-12;ADA;25002,0;SAÍDA;Levantamento Externo
2019-07-13;BNB;8,0;SAÍDA;Levantamento Externo
2019-07-13;BTC;0,045;SAÍDA;Levantamento Externo
2019-07-13;POLY;5025,0;SAÍDA;Levantamento Externo
2019-07-13;LINK;500,6;SAÍDA;Levantamento Externo
2019-07-18;BTC;0,03511624;ENTRADA;Entrada Direta/Rendimento
2019-07-19;XRP;7507,026942;ENTRADA;Entrada Direta/Rendimento
2019-07-22;BNB;50,4;ENTRADA;Entrada Direta/Rendimento
2019-07-22;XRP;5001,426942;SAÍDA;Levantamento Externo
2019-07-24;BNB;50,099;ENTRADA;Entrada Direta/Rendimento
2019-07-24;ENJ;3567,429;SAÍDA;Levantamento Externo
2019-07-26;BAT;1225,4;SAÍDA;Levantamento Externo
2019-07-26;ADA;17097,0;SAÍDA;Levantamento Externo
2019-07-28;BTC;0,07919766;ENTRADA;Entrada Direta/Rendimento
2019-08-04;BTC;0,046;SAÍDA;Levantamento Externo
2019-08-04;XRP;1900,0;ENTRADA;Entrada Direta/Rendimento
2019-08-04;ZRX;1410,2;SAÍDA;Levantamento Externo
2019-08-09;LINK;504,537;SAÍDA;Levantamento Externo
2019-09-20;ENJ;3552,429;ENTRADA;Entrada Direta/Rendimento
2019-09-20;VET;59047,9;ENTRADA;Entrada Direta/Rendimento
2019-10-04;LINK;273,863;SAÍDA;Levantamento Externo
2019-10-06;XRP;5025,21;SAÍDA;Levantamento Externo
2019-10-08;ADA;23000,0;SAÍDA;Levantamento Externo
2019-10-08;BAT;3258,311;ENTRADA;Entrada Direta/Rendimento
2019-11-02;ETH;11,08;ENTRADA;Entrada Direta/Rendimento
2019-11-05;ADA;1004,0;SAÍDA;Levantamento Externo
2019-11-14;ADA;49741,2;SAÍDA;Levantamento Externo
2019-11-16;XRP;2570,406666;ENTRADA;Entrada Direta/Rendimento
2019-11-18;BTC;0,05069294;ENTRADA;Entrada Direta/Rendimento
2019-11-18;IOTA;3757,4663;ENTRADA;Entrada Direta/Rendimento
2019-11-18;ETH;6,0;ENTRADA;Entrada Direta/Rendimento
2019-11-25;RLC;502,5;SAÍDA;Levantamento Externo
2019-11-25;BAT;1024,09;SAÍDA;Levantamento Externo
2019-12-01;ADA;1539,572;SAÍDA;Levantamento Externo
2019-12-05;BAT;1556,424;SAÍDA;Levantamento Externo
2019-12-10;RLC;501,6;SAÍDA;Levantamento Externo
2019-12-14;XRP;2700,0;ENTRADA;Entrada Direta/Rendimento
2019-12-14;VET;100952,946;SAÍDA;Levantamento Externo
2019-12-31;IOTA;2162,847;SAÍDA;Levantamento Externo
2020-01-07;BNB;47,80177764;ENTRADA;Entrada Direta/Rendimento
2020-01-07;ETH;0,19104263;ENTRADA;Entrada Direta/Rendimento
2020-01-07;BNB;1,001;SAÍDA;Levantamento Externo
2020-01-07;BNB;49,04314013;SAÍDA;Levantamento Externo
2020-01-15;BTC;0,02858278;ENTRADA;Entrada Direta/Rendimento
2020-01-15;ALGO;1103,895;SAÍDA;Levantamento Externo
2020-01-18;ADA;5490,0;ENTRADA;Entrada Direta/Rendimento
2020-01-29;XRP;2344,193753;ENTRADA;Entrada Direta/Rendimento
2020-01-29;ETH;2,06100847;ENTRADA;Entrada Direta/Rendimento
2020-01-29;BTC;0,15;ENTRADA;Entrada Direta/Rendimento
2020-01-29;BTC;0,5;ENTRADA;Entrada Direta/Rendimento
2020-01-29;ADA;100000,0;SAÍDA;Levantamento Externo
2020-02-01;BTC;0,3548526;ENTRADA;Entrada Direta/Rendimento
2020-02-01;ALGO;911,0;SAÍDA;Levantamento Externo
2020-02-01;XRP;5001,192753;SAÍDA;Levantamento Externo
2020-02-01;ETH;11,61968525;SAÍDA;Levantamento Externo
2020-02-01;RLC;500,0;ENTRADA;Entrada Direta/Rendimento
2020-02-02;POLY;5000,0;ENTRADA;Entrada Direta/Rendimento
2020-02-02;VET;850,0;ENTRADA;Entrada Direta/Rendimento
